round,fedavg_mae_ms,cfl_mae_ms
73,4.786419384632528,4.091754685212377
74,4.81975520332723,4.143817949736332
75,4.743548031645061,4.1752984336855175
76,4.736450080928464,4.066040035877556
77,4.688016924721833,4.002464447399137
78,4.679803257917771,4.035660131757167
79,4.570074438367281,3.8937979806308416
80,4.500862058694101,3.9970298646885216
81,4.5982315048436675,3.8553547977158207
82,4.585679360353514,3.9737376120228816
83,4.482599110520794,3.8020914438632145
84,4.499227917414467,3.843933891544424
85,4.347797430586409,3.706055148257828
86,4.36908401060826,3.7468371569142063
87,4.375461496094944,3.677258760235176
88,4.256104709760837,3.633186185716672
89,4.238196348020361,3.739828710124984
90,4.294666289735384,3.5927349216062057
91,4.228874733606081,3.5921852886832224
92,4.21450424075174,3.561448356972295
93,4.184488203650078,3.6363626558688797
94,4.113872749140507,3.605863268327035
95,4.140704058039463,3.5943672896192553
96,4.124700692296903,3.4676463223113463
97,4.07033033285702,3.5508165469339557
98,4.048743460891698,3.4202017726853535
99,4.038238513407817,3.3990759721695514
100,4.064310942753962,3.3789756675254887
101,3.9937484586365852,3.3581379396690827
102,3.8775640679783487,3.364292841496736
103,3.8898540165403346,3.304710984480718
104,3.9720587544740207,3.3362620354269716
105,3.867361133017638,3.172497224726355
106,3.8736398687001037,3.292877598982095
107,3.9509784551052594,3.205714573135486
108,3.8632386871245252,3.205679257708723
109,3.7013873617957684,3.1860579084527396
110,3.8584439521208886,3.2448690636508437
111,3.771312529635317,3.2025458181195066
112,3.7601610652152004,3.148857531253262
113,3.735002180751601,3.1014031003036506
114,3.743788456595717,3.156548003874268
115,3.672687476722575,3.187585823505075
116,3.5813745987747807,3.077101550246071
117,3.650630000323314,2.979438911710129
118,3.5445834091255506,3.005264094909796
119,3.6839418366403653,3.0496221412796776
120,3.5546588428996633,2.9809744243226275
121,3.5500453753740016,2.941818341209932
122,3.498908444559883,2.9214791292879454
123,3.5299540431115553,2.9531976272459985
124,3.5162063202218388,2.854135934749733
125,3.4402495458599294,2.911494371178992
126,3.4777366403055225,2.9002346826577763
127,3.4395685360794457,2.856101827030503
128,3.4126854702639697,2.8093818380980284
129,3.3613945784808874,2.8955706239588674
130,3.49637720105337,2.7613136773798477
131,3.4216754749921896,2.8200663302215094
132,3.3810218827346534,2.8314675319641416
133,3.383183551312195,2.786874293564332
134,3.3242962010763755,2.8244509666556117
135,3.274459451754537,2.6902804387529935
136,3.1425800162965243,2.6918287767075366
137,3.1967711829270127,2.6928011340732825
138,3.349137178438305,2.8650484587995955
139,3.2822376198646777,2.710715319966112
140,3.2178595922161315,2.705046515752527
141,3.1125555305779153,2.6880911030791763
142,3.207030635754045,2.6446482887325824
143,3.14541814388808,2.678616918324241
144,3.1784139954674226,2.5182200650200057
145,3.072281450020914,2.6113251311407746
146,3.0879048598100103,2.604777695497109
147,3.14134498926684,2.6203374227896528
148,3.1783273443057625,2.497805269061407
149,3.0340207492629934,2.4878139843719618
150,3.002125190593283,2.477446643427302
151,3.0885684936273474,2.5411204303214414
152,2.9599003962063404,2.5285876514347065
153,2.9491192580615677,2.4411609251576443
154,3.007592138124089,2.5713948828297752
155,3.0845033713586525,2.4771653980087196
156,2.923850911992065,2.4563572672522884
157,2.934019417859964,2.427198758319898
158,2.944433704308039,2.4716695110695626
159,2.9017367882252536,2.432314471429795
160,2.823676348635802,2.495156119976312
161,2.938901205286197,2.3279198401006527
162,2.8950432436019122,2.2994140681759663
163,2.891130833417744,2.327891620953303
164,2.852898427349172,2.380887882754426
165,2.9229725134262345,2.3202638779973266
166,2.809549613390582,2.393788826938778
167,2.7685181121344344,2.299248256285516
168,2.8932799532931286,2.361828735751863
169,2.6880161568133345,2.255119608056811
170,2.7782369479001137,2.344850663153174
171,2.7702570604158705,2.343310766728114
172,2.7565349590206716,2.2358824648020486
173,2.6730553624059867,2.277980866708356
174,2.679839036532961,2.2563807405863847
175,2.775586810683659,2.258432586918274
176,2.785669722096786,2.2865301984846873
177,2.6843707859627344,2.260787786772938
178,2.647653615100547,2.227758309998748
179,2.594013456181788,2.2252362402238526
180,2.7194621927171516,2.118755542684566
181,2.711710030466563,2.1704116051183546
182,2.5105941736892525,2.1077232459136064
183,2.519455211176495,2.1523324629842393
184,2.637118467469752,2.1996229514826235
185,2.6333220489246845,2.1340709189164015
186,2.5859894967106847,1.9998832109273694
187,2.5981576785519396,2.063658802432756
188,2.57749766538142,2.1359852361803826
189,2.581339653522765,2.071002127469344
190,2.525234451991072,2.128270944059886
191,2.5600309971457555,2.01993218892484
192,2.517389783837917,2.090684517495774
193,2.5037869836234177,2.0845927060865734
194,2.438991097503073,2.0939776239106442
195,2.5143196464506152,2.0132982608112653
196,2.5541030842091605,2.0767127941747736
197,2.488628601290491,2.1048027513549212
198,2.478281856638242,1.907678120363605
199,2.549883873468393,2.015821477533165
200,2.5295816943117764,1.9149269063603305
