alpha,beta,gamma,normalized_total_cost
0.15,0.35,0.5,1.1394795715464279
0.2,0.35,0.45000000000000007,1.0671738531423114
0.25,0.35,0.4,1.0419867798108526
0.3,0.35,0.35,0.9783820759120573
0.35,0.35,0.30000000000000004,0.9507145493324848
0.4,0.35,0.25,0.92324294052843
0.45,0.35,0.20000000000000007,0.9374311059257121
0.5,0.35,0.15000000000000002,0.9237344291833337
0.55,0.35,0.09999999999999998,0.9668696023940291
0.6,0.35,0.050000000000000044,0.9952721541179265
0.1,0.4,0.5,1.1761028049424622
0.15,0.4,0.44999999999999996,1.1071766263738014
0.2,0.4,0.4,1.0415432333161907
0.25,0.4,0.35,0.9854585304249183
0.3,0.4,0.29999999999999993,0.9677749532180727
0.35,0.4,0.25,0.9385543742752774
0.4,0.4,0.19999999999999996,0.9321853290778931
0.45,0.4,0.15000000000000002,0.9208982176756566
0.5,0.4,0.09999999999999998,0.9407171159446243
0.1,0.45,0.45,1.1683010658181516
0.15,0.45,0.39999999999999997,1.0977852356301774
0.2,0.45,0.35000000000000003,1.0439226475179224
0.25,0.45,0.3,1.0062434081138651
0.3,0.45,0.24999999999999994,0.9584396841718636
0.35,0.45,0.2,0.9510244515777874
0.4,0.45,0.14999999999999997,0.9200296812915171
0.45,0.45,0.10000000000000003,0.9253557132240229
0.1,0.5,0.4,1.1423668740139767
0.15,0.5,0.35,1.0949046931127728
0.2,0.5,0.30000000000000004,1.0312876439848089
0.25,0.5,0.25,1.008650454451412
0.3,0.5,0.19999999999999996,0.9768581073185425
0.35,0.5,0.15000000000000002,0.9656006398481618
0.4,0.5,0.09999999999999998,0.9626889975901327
0.45,0.5,0.050000000000000044,0.9440459929089888
0.1,0.55,0.35,1.1610206259375107
0.15,0.55,0.29999999999999993,1.1127546843687417
0.2,0.55,0.25,1.0512184527528774
0.25,0.55,0.19999999999999996,1.0088671572147498
0.3,0.55,0.1499999999999999,0.9876697039403376
0.35,0.55,0.09999999999999998,0.9640619328806032
0.1,0.6,0.30000000000000004,1.2089640256724923
0.15,0.6,0.25,1.1213350173361485
0.2,0.6,0.20000000000000007,1.0758818776723698
0.25,0.6,0.15000000000000002,1.0492133861901956
0.3,0.6,0.09999999999999998,1.0405297450155635
0.35,0.6,0.050000000000000044,0.9977940752805984
0.1,0.65,0.25,1.1854107520003467
0.15,0.65,0.19999999999999996,1.150206272592977
0.2,0.65,0.15000000000000002,1.0854037703338584
0.25,0.65,0.09999999999999998,1.0659299534608144
0.1,0.7,0.20000000000000007,1.2587201724781854
0.15,0.7,0.15000000000000002,1.177383021583346
0.2,0.7,0.10000000000000009,1.1321977668147714
0.25,0.7,0.050000000000000044,1.124298004831502
0.1,0.75,0.15000000000000002,1.2802580144527311
0.15,0.75,0.09999999999999998,1.246643895994598
0.2,0.75,0.050000000000000044,1.1895242388423508
0.1,0.8,0.09999999999999998,1.3419924701147028
