step,reward_0.5_0.3_0.2,reward_0.4_0.4_0.2,reward_0.6_0.2_0.2
315,-220.81179663903498,-222.79621020967488,-224.26165967217486
316,-220.8208151025762,-222.73799215195035,-224.2052560630595
317,-220.83658036691168,-222.56435718114787,-224.18118650551435
318,-220.7399869563144,-222.55928292099952,-224.0986503830966
319,-220.6293066862243,-222.5698227070688,-223.98181993229994
320,-220.63185311737575,-222.4948766639881,-223.89322214820626
321,-220.6111283852652,-222.44214051674783,-223.89140600852198
322,-220.49467887498417,-222.42295083647244,-223.88852108918127
323,-220.39484137541257,-222.4258476256573,-223.8542257446825
324,-220.23508088186048,-222.2377049834754,-223.7912675177006
325,-219.9550762980823,-222.20370786469744,-223.73172829746426
326,-219.84115781949168,-222.11656861923942,-223.6472311794343
327,-219.76234533139925,-222.08248353954983,-223.66910330509592
328,-219.70065790711908,-222.03898106339545,-223.63673972518703
329,-219.55726283609533,-222.0675152532357,-223.66992316948102
330,-219.41470638213013,-221.9989024527412,-223.63714585169353
331,-219.5615421561663,-222.06859891520128,-223.6096866163815
332,-219.55215813496713,-222.1534459815042,-223.54339357329224
333,-219.53364378792548,-222.22495266692903,-223.45056957172827
334,-219.4433404290133,-222.22184052680714,-223.44992677870798
335,-219.30246403658867,-222.29422400145478,-223.38504732462633
336,-219.10588669845254,-222.28019674002914,-223.2827109143096
337,-219.01500185409202,-222.24292552592308,-223.16733794064896
338,-218.96717010218345,-222.31665921600032,-223.1464153437159
339,-218.98023234186695,-222.15743910919275,-223.1236502453807
340,-218.97445482698345,-222.1289970394674,-223.1029172082017
341,-219.01930837151622,-222.04583838998252,-223.05805561986904
342,-219.20493563158277,-221.98428538224013,-223.04441836575552
343,-219.12951389062047,-222.07568824440432,-223.01926001791568
344,-218.87642514147635,-222.09434870115,-222.88828263013923
345,-218.8404035889155,-222.0000898157461,-222.85798699011895
346,-218.92892029472387,-221.98722863388087,-222.96781385414295
347,-218.86593164462,-221.94319479236157,-222.8961928752617
348,-218.8521199033875,-221.91661466366037,-222.84754674068188
349,-218.88646538797414,-221.85079620741976,-222.75998409779902
350,-218.84753622101215,-221.89661349522913,-222.65077447905318
351,-218.77255056371564,-221.8780824333013,-222.606074706822
352,-218.913270687634,-221.85162140616657,-222.59118935799086
353,-219.01780339399687,-221.98533926277915,-222.58139512552552
354,-218.94741525575418,-221.83266704299905,-222.41618202483153
355,-218.94205051099874,-221.82943107188572,-222.4519623275574
356,-218.92090530382976,-221.81644739224882,-222.45420608796545
357,-218.75282093011182,-221.84974699979148,-222.33500266191328
358,-218.72315973281923,-221.91281010951684,-222.3329822493801
359,-218.8232414574521,-222.02778789792825,-222.3993984171311
360,-218.76560879650933,-222.01409038792966,-222.42604908527534
361,-218.68275175927818,-222.0284881654422,-222.3669823318925
362,-218.61216203391484,-221.89933488020404,-222.38705363393973
363,-218.66586401036682,-221.79914801080233,-222.39581341271523
364,-218.51629945952718,-221.7532810627696,-222.45909723417452
365,-218.54322323433018,-221.64577214746174,-222.40767209449223
366,-218.49377654241488,-221.81201044317314,-222.37061080039598
367,-218.4907925934965,-221.85615259964672,-222.37854802656665
368,-218.45049278607578,-221.77560823599438,-222.41796810061177
369,-218.4176128962522,-221.61483875519627,-222.39149794087672
370,-218.4371166233649,-221.5977201739854,-222.34311209401537
371,-218.20857738709623,-221.54823214300092,-222.2729106658026
372,-218.10403779915788,-221.56437991433108,-222.27144703847648
373,-218.03043815014212,-221.5753089454105,-222.137516022758
374,-218.0567409809175,-221.3707253294101,-222.07015113678443
375,-218.07231596481188,-221.44381073576037,-222.03993922297911
376,-217.97491140199065,-221.3942566693915,-222.09524477442463
377,-217.98109857697585,-221.4064815720173,-222.0191128754272
378,-217.80130946072478,-221.35242720046813,-222.02271776318497
379,-217.7780455283493,-221.39957403848194,-222.0516422604942
380,-217.80232724699985,-221.35264944950336,-221.9216917090725
381,-217.81118256135144,-221.27864288488493,-221.89394082782414
382,-217.84745665578663,-221.2271919227035,-221.81233476707484
383,-217.8289204007966,-221.0751467774365,-221.90680373478304
384,-217.73877944472298,-220.98870290915866,-221.81116771842244
385,-217.69677936417668,-220.96521885007945,-221.79413463014322
386,-217.8084956254782,-220.79077219357077,-221.78176555613595
387,-217.783415626141,-220.7605169841613,-221.7366027452128
388,-217.80391784129293,-220.7710963194703,-221.79293319915925
389,-217.776465503606,-220.80296434007215,-221.75505793843703
390,-217.78947071249996,-220.838263285291,-221.7464150840125
391,-217.8233247662047,-220.88272398167032,-221.68496737358845
392,-217.7746032339066,-220.86933493665867,-221.67185553305455
393,-217.63843328965277,-220.79147031038394,-221.59612289385632
394,-217.42909341103282,-220.85075815768477,-221.61654030766454
395,-217.4390535285732,-220.71411595792648,-221.47840103612083
396,-217.44352056980972,-220.65373181594993,-221.45841300236737
397,-217.28668463419353,-220.53361033009784,-221.34889910141237
398,-217.16717608839957,-220.57887151904083,-221.26575216161285
399,-217.2988472071592,-220.57857274041757,-221.15189386533697
400,-217.1964710333907,-220.5726564746953,-221.15124493767996
401,-217.34389724322943,-220.46843225636948,-221.12797429564807
402,-217.28676724449343,-220.34356175134184,-220.99106275970348
403,-217.22770939547854,-220.31170393263687,-220.93659911020313
404,-217.11984981440202,-220.1715234328359,-220.89396816150202
405,-217.06622864951896,-220.12655950257312,-220.8564544198865
406,-216.98160349721172,-220.1074285209448,-220.82650221321668
407,-216.96266531506748,-220.0675976888089,-220.82673746224157
408,-216.92532735589484,-220.0659041185839,-220.7355831408999
409,-216.89492723911934,-219.97784255286916,-220.66509170965202
410,-216.8105627057904,-219.92694318332786,-220.63749141283557
411,-216.86932013008703,-219.82384652521304,-220.58233725174392
412,-216.84427756795645,-219.63923632543919,-220.49450034255307
413,-216.7835070417275,-219.66509605853017,-220.46330346002148
414,-216.66646685823773,-219.6679486077781,-220.44079670168566
415,-216.5249568426697,-219.61667942831167,-220.4386248445681
416,-216.5660274568408,-219.59975432008247,-220.47239914784728
417,-216.53187118286382,-219.5608593968645,-220.53059210559826
418,-216.46703770463523,-219.47587040317194,-220.43573599573085
419,-216.47741503774515,-219.5047052648701,-220.37425628889326
420,-216.34226611226964,-219.52452247459667,-220.46442810958584
421,-216.24325949774996,-219.4935969766545,-220.42520471048533
422,-216.33147730417085,-219.38432091188452,-220.3632230853461
423,-216.33223341599043,-219.28071752111117,-220.31668656705753
424,-216.3188947322952,-219.31353528483203,-220.29891165844944
425,-216.123022802467,-219.2807199183099,-220.31190077990328
426,-215.8993393430173,-219.1173801461864,-220.29432843381508
427,-215.96230597616932,-219.09237671143015,-220.3467901434587
428,-215.87682867070976,-219.01032547559737,-220.30489228329168
429,-215.90543521651176,-218.91089705551178,-220.31981087667367
430,-215.89419581504814,-218.82034853685138,-220.18304305155357
431,-215.85283653594962,-218.7731149301623,-220.09833027140968
432,-215.82425926507455,-218.64193296895968,-220.0614373747249
433,-215.9100441293042,-218.64064110839138,-219.9047869104857
434,-215.93226724541927,-218.61937876532352,-219.84156590284263
435,-215.90727846615,-218.68289643577515,-219.81511014097958
436,-215.87178717638173,-218.636916498081,-219.88667898581411
437,-215.74991413916442,-218.56965472974298,-219.80421767525786
438,-215.58016638800368,-218.5906141886292,-219.74279511363017
439,-215.4373338083623,-218.62175258646113,-219.57478712017
440,-215.3577605845997,-218.65350696126112,-219.6491993230014
441,-215.2769782218799,-218.66836755562574,-219.56530825639788
442,-215.3178256072628,-218.60629122321816,-219.4465655174682
443,-215.16357803118825,-218.5736461303597,-219.40210675851412
444,-215.19270158661584,-218.556021189276,-219.387951682456
445,-215.04931524084776,-218.42868024482573,-219.36951515442922
446,-215.08365711464978,-218.31563932817917,-219.22354420770938
447,-214.9205350010042,-218.17214421395812,-219.30309236704719
448,-214.83747457744607,-218.2440495476602,-219.26751764550113
449,-214.7553986655762,-218.22764711828353,-219.20334308373577
450,-214.82138692902618,-218.21849741733604,-219.2217118267485
451,-214.73144049275487,-218.18087098021863,-219.1757401337244
452,-214.8348532553297,-218.19031288325937,-219.0834770423957
453,-214.77031680091216,-218.1661502078239,-219.05137336731678
454,-214.82366646493014,-218.1416141792743,-219.01689906899304
455,-214.82138579635142,-218.1563163315694,-218.9712699740567
456,-214.86797060353163,-218.03130329257826,-218.86547499165803
457,-214.86570660263328,-217.9546209210016,-218.8809863471353
458,-214.9397842213202,-217.90687582090624,-218.896832313589
459,-214.8044886143467,-217.82166243145377,-218.8963000611546
460,-214.8095834040458,-217.80829241085502,-218.7762481793796
461,-214.97356273292846,-217.75513802180112,-218.79580461296263
462,-214.99139102775143,-217.80383713341396,-218.8307735627182
463,-214.9828695685901,-217.71257175920817,-218.95564598438682
464,-215.03408250049546,-217.57730953734372,-218.86039633958939
465,-214.99802877861111,-217.62569950239032,-218.87232721994877
466,-214.95003706402602,-217.51807891540528,-218.84899592756784
467,-214.94279125956197,-217.5036384925574,-218.7781254218995
468,-214.90031889278904,-217.46666656375436,-218.67044336231385
469,-214.8065097468424,-217.51147529118197,-218.63726041361434
470,-214.9122182551185,-217.4735403390288,-218.58925569227924
471,-214.9183824309317,-217.49516138426753,-218.4670341070451
472,-214.90298859283237,-217.3269940375252,-218.50195768770516
473,-214.88036181364222,-217.33475491746037,-218.46005921365528
474,-214.81310426708063,-217.26106883201982,-218.48275854591208
475,-214.78740528401423,-217.2424198156953,-218.40239759575076
476,-214.71354892700077,-217.21064154839456,-218.42071291373423
477,-214.54622538193905,-217.18421560515816,-218.35454239566005
478,-214.5027171264981,-217.12217845161726,-218.3453966578523
479,-214.46268976495568,-217.2207134295537,-218.3059762521349
480,-214.35646230085067,-217.1886364610375,-218.25484696722083
